Wk,Winner,Loser
5,Liberty,Akron
5,Louisiana State,New Mexico
5,Louisiana-Monroe,Louisiana
5,Louisville,South Florida
5,Memphis,North Texas
5,Miami (OH),Northwestern
5,(4) Michigan,Maryland
5,Middle Tennessee State,(25) Miami (FL)
5,Minnesota,Michigan State
5,(16) Mississippi,Tulsa
5,Mississippi State,Bowling Green
5,Navy,East Carolina
5,Nevada-Las Vegas,Utah State
5,New Mexico State,Hawaii
5,(12) North Carolina State,Connecticut
5,Notre Dame,North Carolina
5,Ohio,Fordham
5,(3) Ohio State,Wisconsin
5,Old Dominion,Arkansas State
5,(15) Oregon,Washington State
5,(14) Penn State,Central Michigan
5,(24) Pittsburgh,Rhode Island
5,Purdue,Florida Atlantic
5,Sacramento State,Colorado State
5,San Diego State,Toledo
5,San Jose State,Western Michigan
5,South Alabama,Louisiana Tech
5,South Carolina,Charlotte
5,(7) Southern California,Oregon State
5,Southern Mississippi,Tulane
5,Temple,Massachusetts
5,(11) Tennessee,(20) Florida
5,(23) Texas A&M,(10) Arkansas
5,Texas Christian,Southern Methodist
5,Texas State,Houston Baptist
5,Texas Tech,(22) Texas
5,Texas-San Antonio,Texas Southern
5,Troy,Marshall
5,UCLA,Colorado
5,(13) Utah,Arizona State
5,(18) Washington,Stanford
5,Western Kentucky,Florida International
6,(19) Brigham Young,Utah State
6,South Carolina,South Carolina State
6,Boise State,San Diego State
6,Nevada-Las Vegas,New Mexico
6,Texas-San Antonio,Middle Tennessee State
6,Tulane,Houston
6,UCLA,(15) Washington
6,Air Force,Navy
6,(2) Alabama,(20) Arkansas
6,Appalachian State,Citadel
6,Arizona,Colorado
6,Arkansas State,Louisiana-Monroe
6,Ball State,Northern Illinois
6,Boston College,Louisville
6,Bowling Green,Akron
6,Buffalo,Miami (OH)
6,Cincinnati,Tulsa
6,(5) Clemson,(10) North Carolina State
6,Coastal Carolina,Georgia Southern
6,Connecticut,Fresno State
6,Duke,Virginia
6,East Carolina,South Florida
6,Eastern Michigan,Massachusetts
6,Florida International,New Mexico State
6,(1) Georgia,Missouri
6,Georgia State,Army
6,Georgia Tech,(24) Pittsburgh
6,Illinois,Wisconsin
6,James Madison,Texas State
6,Kansas,Iowa State
6,(25) Kansas State,Texas Tech
6,Kent State,Ohio
6,Liberty,Old Dominion
6,Louisiana State,Auburn
6,Marshall,Gardner-Webb
6,Maryland,Michigan State
6,Memphis,Temple
6,(4) Michigan,Iowa
6,(14) Mississippi,(7) Kentucky
6,Mississippi State,(17) Texas A&M
6,Nebraska,Indiana
6,North Carolina,Virginia Tech
6,North Texas,Florida Atlantic
6,(3) Ohio State,Rutgers
6,(9) Oklahoma State,(16) Baylor
6,(13) Oregon,Stanford
6,(11) Penn State,Northwestern
6,Purdue,(21) Minnesota
6,Rice,Alabama-Birmingham
6,San Jose State,Wyoming
6,South Alabama,Louisiana
6,(6) Southern California,Arizona State
6,Syracuse,Wagner
6,Texas,West Virginia
6,Texas Christian,(18) Oklahoma
6,Texas-El Paso,Charlotte
6,Toledo,Central Michigan
6,Troy,Western Kentucky
6,(12) Utah,Oregon State
6,(22) Wake Forest,(23) Florida State
6,Washington State,California
6,Western Michigan,New Hampshire
6,Florida,Eastern Washington
7,Central Florida,Southern Methodist
7,Colorado State,Nevada
7,Houston,Memphis
7,Nebraska,Rutgers
7,San Jose State,Nevada-Las Vegas
7,(1) Alabama,Texas A&M
7,Alabama-Birmingham,Middle Tennessee State
7,Arizona State,(21) Washington
7,Ball State,Central Michigan
7,Boise State,Fresno State
7,Buffalo,Bowling Green
7,(24) Cincinnati,South Florida
